attempt_id,student_id,exercise_id,concept_code,secondary_concept_code,occurred_at,received_at,ingestion_lag_seconds,session_id,lesson_phase,is_correct,skipped,used_hint,attempt_number,difficulty,response_time_ms,days_since_last_practice,prerequisite_mastery,latent_ability,probability_correct,misconception_code,connectivity_mode,data_quality_flags,data_notice
attempt-0011,student-11,ex-05-03,PYTHON_RANGE,,2026-06-02T17:08:05.388804+00:00,2026-06-02T17:08:19.388804+00:00,14,session-student-11-000,PRACTICE,0,0,0,1,0.427,11564,2.103,0.879,0.862,0.7781,RANGE_STOP_INCLUDED,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0012,student-12,ex-01-06,PYTHON_VARIABLES,PYTHON_VARIABLES,2026-06-02T19:34:10.319933+00:00,2026-06-02T19:34:19.319933+00:00,9,session-student-12-000,CHECKPOINT,0,0,0,1,0.782,45178,1.536,0.729,0.773,0.4756,VARIABLE_UPDATE_ORDER,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0013,student-13,ex-07-05,PYTHON_LISTS,,2026-06-02T23:18:00.357111+00:00,2026-06-02T23:18:03.357111+00:00,3,session-student-13-000,PRACTICE,1,0,0,1,0.666,20102,0.772,0.698,0.828,0.6933,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0014,student-14,ex-05-03,PYTHON_RANGE,,2026-06-03T02:17:28.454349+00:00,2026-06-03T02:17:44.454349+00:00,16,session-student-14-000,PRACTICE,1,0,0,1,0.427,23557,3.921,0.802,0.776,0.788,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0015,student-15,ex-07-04,PYTHON_LISTS,,2026-06-03T05:36:20.893889+00:00,2026-06-03T05:36:32.893889+00:00,12,session-student-15-000,PRACTICE,1,0,1,1,0.536,28760,3.152,0.618,0.628,0.6304,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0016,student-16,ex-04-03,PYTHON_FOR,,2026-06-03T08:19:54.402048+00:00,2026-06-03T08:20:08.402048+00:00,14,session-student-16-000,PRACTICE,0,0,0,1,0.427,30026,1.678,0.422,0.386,0.363,FOR_ITERATION_COUNT,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0017,student-17,ex-05-03,PYTHON_RANGE,,2026-06-03T11:42:11.769799+00:00,2026-06-03T11:42:26.769799+00:00,15,session-student-17-000,PRACTICE,1,0,0,1,0.427,26259,4.852,0.758,0.662,0.6339,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0018,student-18,ex-05-01,PYTHON_RANGE,,2026-06-03T15:36:18.055784+00:00,2026-06-03T15:36:40.055784+00:00,22,session-student-18-000,PRACTICE,1,0,0,1,0.219,17992,28.739,0.638,0.639,0.7108,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0019,student-19,ex-06-06,PYTHON_WHILE,PYTHON_RANGE,2026-06-03T19:20:36.042258+00:00,2026-06-03T19:20:53.042258+00:00,17,session-student-19-000,CHECKPOINT,0,0,1,1,0.752,27547,4.208,0.76,0.811,0.6579,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0020,student-20,ex-03-02,PYTHON_IF_ELSE,,2026-06-03T21:40:05.943255+00:00,2026-06-03T21:40:24.943255+00:00,19,session-student-20-000,PRACTICE,1,0,0,1,0.337,23314,2.88,0.848,0.96,0.9181,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0021,student-01,ex-06-03,PYTHON_WHILE,,2026-06-04T01:50:24.986535+00:00,2026-06-04T01:50:47.986535+00:00,23,session-student-01-001,PRACTICE,1,0,0,1,0.448,20362,1.705,0.808,0.81,0.8684,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0022,student-02,ex-01-02,PYTHON_VARIABLES,,2026-06-04T04:55:30.099562+00:00,2026-06-04T04:55:41.099562+00:00,11,session-student-02-001,PRACTICE,1,0,0,1,0.308,40968,0.97,0.654,0.721,0.7287,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0023,student-03,ex-02-04,PYTHON_OPERATORS,,2026-06-04T07:02:53.561453+00:00,2026-06-04T07:03:09.561453+00:00,16,session-student-03-001,PRACTICE,0,0,1,1,0.552,33185,3.645,0.464,0.433,0.4875,BOOLEAN_LOGIC_CONFUSION,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0024,student-04,ex-06-05,PYTHON_WHILE,,2026-06-04T11:06:52.412578+00:00,2026-06-04T11:07:08.412578+00:00,16,session-student-04-001,PRACTICE,0,0,0,1,0.641,38717,1.66,0.136,0.2,0.2716,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0025,student-05,ex-06-06,PYTHON_WHILE,PYTHON_RANGE,2026-06-04T13:20:20.984509+00:00,2026-06-04T13:20:43.984509+00:00,23,session-student-05-001,CHECKPOINT,0,0,1,1,0.752,19157,3.458,0.352,0.529,0.2523,WHILE_VARIABLE_NOT_UPDATED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0026,student-06,ex-01-04,PYTHON_VARIABLES,,2026-06-04T17:36:48.941995+00:00,2026-06-04T17:36:50.941995+00:00,2,session-student-06-001,PRACTICE,1,0,1,1,0.543,10215,1.234,0.59,0.765,0.8243,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0027,student-07,ex-06-02,PYTHON_WHILE,,2026-06-04T19:12:24.919757+00:00,2026-06-04T19:12:44.919757+00:00,20,session-student-07-001,PRACTICE,0,0,0,1,0.331,16895,2.544,0.653,0.595,0.6263,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0028,student-08,ex-02-02,PYTHON_OPERATORS,,2026-06-04T22:24:58.938618+00:00,2026-06-04T22:25:10.938618+00:00,12,session-student-08-001,PRACTICE,1,0,0,1,0.352,21185,1.153,0.762,0.774,0.7788,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0029,student-10,ex-07-03,PYTHON_LISTS,,2026-06-05T02:31:05.214870+00:00,2026-06-05T02:31:29.214870+00:00,24,session-student-10-001,PRACTICE,1,0,0,1,0.42,11150,1.153,0.744,0.821,0.8173,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0030,student-10,ex-07-05,PYTHON_LISTS,,2026-06-05T05:48:46.456003+00:00,2026-06-05T05:49:10.456003+00:00,24,session-student-10-001,PRACTICE,1,0,0,2,0.666,23737,0.727,0.903,0.821,0.6873,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0031,student-11,ex-08-03,PYTHON_FUNCTIONS,,2026-06-05T09:09:26.387389+00:00,2026-06-05T09:09:28.387389+00:00,2,session-student-11-001,PRACTICE,1,0,0,1,0.442,42321,0.289,0.834,0.96,0.8112,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0032,student-12,ex-01-05,PYTHON_VARIABLES,,2026-06-05T12:37:56.117856+00:00,2026-06-05T12:38:02.117856+00:00,6,session-student-12-001,PRACTICE,1,0,1,2,0.664,41454,3.817,0.726,0.773,0.8037,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0033,student-13,ex-06-05,PYTHON_WHILE,,2026-06-05T16:11:47.027137+00:00,2026-06-05T16:12:04.027137+00:00,17,session-student-13-001,PRACTICE,1,0,0,1,0.641,30348,2.056,0.797,0.745,0.6766,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0034,student-14,ex-01-01,PYTHON_VARIABLES,,2026-06-05T17:41:02.614895+00:00,2026-06-05T17:41:04.614895+00:00,2,session-student-14-001,PRACTICE,1,0,0,1,0.244,16335,2.044,0.696,0.702,0.8516,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0035,student-15,ex-08-03,PYTHON_FUNCTIONS,,2026-06-05T22:39:00.158140+00:00,2026-06-05T22:39:16.158140+00:00,16,session-student-15-001,PRACTICE,0,0,0,1,0.442,25846,1.817,0.553,0.473,0.5085,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0036,student-16,ex-06-06,PYTHON_WHILE,PYTHON_RANGE,2026-06-06T01:45:11.320681+00:00,2026-06-06T01:45:29.320681+00:00,18,session-student-16-001,CHECKPOINT,0,0,1,1,0.752,12766,2.034,0.508,0.532,0.4293,WHILE_VARIABLE_NOT_UPDATED,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0037,student-17,ex-03-03,PYTHON_IF_ELSE,,2026-06-06T03:55:52.285087+00:00,2026-06-06T03:55:53.285087+00:00,1,session-student-17-001,PRACTICE,0,0,0,1,0.421,48166,0.555,0.718,0.864,0.6939,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0038,student-18,ex-04-01,PYTHON_FOR,,2026-06-06T07:45:35.523255+00:00,2026-06-06T07:45:55.523255+00:00,20,session-student-18-001,PRACTICE,1,0,0,1,0.218,26274,3.831,0.762,0.873,0.9154,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0039,student-20,ex-04-02,PYTHON_FOR,,2026-06-06T09:36:18.683123+00:00,2026-06-06T09:36:37.683123+00:00,19,session-student-20-001,PRACTICE,1,0,0,1,0.35,22033,1.71,0.738,0.879,0.911,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0040,student-20,ex-06-02,PYTHON_WHILE,,2026-06-06T13:46:36.594681+00:00,2026-06-06T13:46:54.594681+00:00,18,session-student-20-001,PRACTICE,1,0,0,1,0.331,34526,4.46,0.909,0.848,0.8591,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0041,student-01,ex-03-06,PYTHON_IF_ELSE,PYTHON_OPERATORS,2026-06-06T17:32:51.747450+00:00,2026-06-06T17:33:09.747450+00:00,18,session-student-01-002,CHECKPOINT,1,0,0,1,0.781,42119,2.886,0.919,0.848,0.6145,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0042,student-02,ex-05-02,PYTHON_RANGE,,2026-06-06T19:55:37.008550+00:00,2026-06-06T19:55:54.008550+00:00,17,session-student-02-002,PRACTICE,1,0,0,1,0.324,42537,0.362,0.677,0.729,0.6916,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0043,student-03,ex-08-05,PYTHON_FUNCTIONS,,2026-06-06T23:46:26.378538+00:00,2026-06-06T23:46:28.378538+00:00,2,session-student-03-002,PRACTICE,1,0,0,1,0.658,50029,3.78,0.653,0.58,0.5097,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0044,student-04,ex-01-06,PYTHON_VARIABLES,PYTHON_VARIABLES,2026-06-07T02:13:55.982511+00:00,2026-06-07T02:14:19.982511+00:00,24,session-student-04-002,CHECKPOINT,1,0,0,1,0.782,17143,1.216,0.679,0.849,0.5442,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0045,student-05,ex-01-05,PYTHON_VARIABLES,,2026-06-07T05:20:23.795413+00:00,2026-06-07T05:20:38.795413+00:00,15,session-student-05-002,PRACTICE,0,0,1,1,0.664,7466,1.48,0.1,0.26,0.0896,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0046,student-06,ex-03-04,PYTHON_IF_ELSE,,2026-06-07T09:11:05.890668+00:00,2026-06-07T09:11:29.890668+00:00,24,session-student-06-002,PRACTICE,1,0,0,1,0.557,11352,1.438,0.705,0.739,0.8945,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0047,student-07,ex-07-01,PYTHON_LISTS,,2026-06-07T11:19:47.177107+00:00,2026-06-07T11:19:52.177107+00:00,5,session-student-07-002,PRACTICE,1,0,0,1,0.238,18110,1.644,0.307,0.421,0.8319,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0048,student-08,ex-07-03,PYTHON_LISTS,,2026-06-07T16:05:02.062397+00:00,2026-06-07T16:05:25.062397+00:00,23,session-student-08-002,PRACTICE,1,0,0,1,0.42,34344,22.943,0.981,0.889,0.7486,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0049,student-09,ex-08-06,PYTHON_FUNCTIONS,PYTHON_LISTS,2026-06-07T19:13:23.867174+00:00,2026-06-07T19:13:32.867174+00:00,9,session-student-09-002,CHECKPOINT,0,1,0,1,0.792,26861,4.278,0.602,0.534,0.4412,,STABLE,SKIPPED,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0050,student-10,ex-04-04,PYTHON_FOR,,2026-06-07T22:40:19.090111+00:00,2026-06-07T22:40:33.090111+00:00,14,session-student-10-002,PRACTICE,1,0,0,1,0.533,31853,4.696,0.71,0.734,0.7146,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0051,student-11,ex-05-02,PYTHON_RANGE,,2026-06-08T00:52:10.964335+00:00,2026-06-08T00:52:19.964335+00:00,9,session-student-11-002,PRACTICE,1,0,0,2,0.324,33582,4.571,0.806,0.862,0.899,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0052,student-12,ex-04-01,PYTHON_FOR,,2026-06-08T03:17:12.656449+00:00,2026-06-08T03:17:24.656449+00:00,12,session-student-12-002,PRACTICE,1,0,0,1,0.218,10566,0.577,1.0,0.898,0.8489,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0053,student-13,ex-02-01,PYTHON_OPERATORS,,2026-06-08T07:30:45.304334+00:00,2026-06-08T07:31:04.304334+00:00,19,session-student-13-002,PRACTICE,1,0,1,1,0.198,24103,2.301,0.777,0.745,0.8532,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0054,student-14,ex-08-01,PYTHON_FUNCTIONS,,2026-06-08T10:05:59.886566+00:00,2026-06-08T10:06:17.886566+00:00,18,session-student-14-002,PRACTICE,1,0,0,1,0.229,15569,4.943,0.919,0.81,0.8546,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0055,student-15,ex-02-06,PYTHON_OPERATORS,PYTHON_VARIABLES,2026-06-08T13:14:13.503586+00:00,2026-06-08T13:14:31.503586+00:00,18,session-student-15-002,CHECKPOINT,0,0,0,1,0.78,32652,2.746,0.373,0.26,0.1881,BOOLEAN_LOGIC_CONFUSION,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0056,student-16,ex-05-02,PYTHON_RANGE,,2026-06-08T16:04:45.861355+00:00,2026-06-08T16:04:57.861355+00:00,12,session-student-16-002,PRACTICE,0,0,0,1,0.324,21831,0.868,0.363,0.371,0.2394,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0057,student-17,ex-04-03,PYTHON_FOR,,2026-06-08T20:05:51.786346+00:00,2026-06-08T20:05:54.786346+00:00,3,session-student-17-002,PRACTICE,1,0,0,1,0.427,39782,2.023,0.941,0.826,0.777,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0058,student-18,ex-04-06,PYTHON_FOR,PYTHON_IF_ELSE,2026-06-08T23:37:02.171145+00:00,2026-06-08T23:37:16.171145+00:00,14,session-student-18-002,CHECKPOINT,1,0,1,2,0.791,24837,28.553,0.786,0.873,0.5296,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0059,student-20,ex-01-01,PYTHON_VARIABLES,,2026-06-09T02:49:04.836029+00:00,2026-06-09T02:49:15.836029+00:00,11,session-student-20-002,PRACTICE,0,0,0,1,0.244,26179,1.818,0.903,0.783,0.9257,VARIABLE_UPDATE_ORDER,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0060,student-20,ex-04-01,PYTHON_FOR,,2026-06-09T06:28:52.954553+00:00,2026-06-09T06:29:09.954553+00:00,17,session-student-20-002,PRACTICE,1,0,0,2,0.218,46705,1.328,0.913,0.879,0.8985,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0061,student-01,ex-05-05,PYTHON_RANGE,,2026-06-09T08:15:35.890410+00:00,2026-06-09T08:15:36.890410+00:00,1,session-student-01-003,PRACTICE,0,0,1,1,0.653,5244,0.37,0.659,0.748,0.6684,RANGE_STOP_INCLUDED,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0062,student-02,ex-05-04,PYTHON_RANGE,,2026-06-09T12:40:41.251622+00:00,2026-06-09T12:40:52.251622+00:00,11,session-student-02-003,PRACTICE,0,0,0,2,0.56,52671,2.779,0.628,0.729,0.7229,RANGE_STOP_INCLUDED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0063,student-03,ex-02-03,PYTHON_OPERATORS,,2026-06-09T16:12:48.888228+00:00,2026-06-09T16:13:00.888228+00:00,12,session-student-03-003,PRACTICE,0,0,0,2,0.462,22793,1.654,0.497,0.433,0.5761,BOOLEAN_LOGIC_CONFUSION,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0064,student-04,ex-03-01,PYTHON_IF_ELSE,,2026-06-09T19:08:05.409821+00:00,2026-06-09T19:08:26.409821+00:00,21,session-student-04-003,PRACTICE,1,0,0,1,0.217,34954,2.358,0.609,0.707,0.8147,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0065,student-05,ex-03-01,PYTHON_IF_ELSE,,2026-06-09T22:35:32.184672+00:00,2026-06-09T22:35:41.184672+00:00,9,session-student-05-003,PRACTICE,0,0,1,1,0.217,23072,4.647,0.492,0.541,0.8094,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0066,student-06,ex-07-04,PYTHON_LISTS,,2026-06-10T00:18:05.764939+00:00,2026-06-10T00:18:19.764939+00:00,14,session-student-06-003,PRACTICE,0,0,1,1,0.536,19088,2.888,0.785,0.728,0.7375,LIST_INDEX_STARTS_AT_ONE,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0067,student-07,ex-05-03,PYTHON_RANGE,,2026-06-10T04:55:03.321451+00:00,2026-06-10T04:55:04.321451+00:00,1,session-student-07-003,PRACTICE,0,0,0,1,0.427,11875,4.991,0.221,0.379,0.2275,RANGE_STOP_INCLUDED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0068,student-08,ex-02-03,PYTHON_OPERATORS,,2026-06-10T06:25:53.001741+00:00,2026-06-10T08:07:41.001741+00:00,6108,session-student-08-003,PRACTICE,1,0,0,2,0.462,33082,2.365,0.859,0.774,0.6385,,UNSTABLE,LATE_EVENT,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0069,student-10,ex-02-05,PYTHON_OPERATORS,,2026-06-10T10:20:10.645804+00:00,2026-06-10T10:20:31.645804+00:00,21,session-student-10-003,PRACTICE,1,0,1,1,0.681,4948,0.433,0.612,0.672,0.5705,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0070,student-10,ex-06-03,PYTHON_WHILE,,2026-06-10T14:36:04.327226+00:00,2026-06-10T14:36:08.327226+00:00,4,session-student-10-003,PRACTICE,1,0,0,2,0.448,9465,1.973,0.841,0.86,0.8904,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0071,student-11,ex-03-02,PYTHON_IF_ELSE,,2026-06-10T17:33:40.494439+00:00,2026-06-10T17:34:00.494439+00:00,20,session-student-11-003,PRACTICE,1,0,0,1,0.337,43430,2.004,0.7,0.789,0.8835,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0072,student-12,ex-02-05,PYTHON_OPERATORS,,2026-06-10T19:34:46.242843+00:00,2026-06-10T19:35:08.242843+00:00,22,session-student-12-003,PRACTICE,0,0,0,1,0.681,42604,2.876,0.831,0.759,0.665,BOOLEAN_LOGIC_CONFUSION,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0073,student-13,ex-06-04,PYTHON_WHILE,,2026-06-11T00:03:10.674735+00:00,2026-06-11T00:03:14.674735+00:00,4,session-student-13-003,PRACTICE,1,0,0,2,0.529,19679,4.553,0.727,0.745,0.6412,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0074,student-14,ex-06-02,PYTHON_WHILE,,2026-06-11T02:42:10.330780+00:00,2026-06-11T02:42:14.330780+00:00,4,session-student-14-003,PRACTICE,0,0,1,1,0.331,20159,1.945,0.174,0.2,0.4357,WHILE_VARIABLE_NOT_UPDATED,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0075,student-15,ex-05-04,PYTHON_RANGE,,2026-06-11T05:54:08.425632+00:00,2026-06-11T05:54:23.425632+00:00,15,session-student-15-003,PRACTICE,1,0,0,1,0.56,16411,3.458,0.456,0.543,0.5053,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0076,student-16,ex-06-06,PYTHON_WHILE,PYTHON_RANGE,2026-06-11T09:12:51.863559+00:00,2026-06-11T09:12:57.863559+00:00,6,session-student-16-003,CHECKPOINT,1,0,1,2,0.752,23650,3.94,0.357,0.532,0.3526,,OCCASIONAL_OFFLINE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0077,student-17,ex-03-04,PYTHON_IF_ELSE,,2026-06-11T11:34:17.052142+00:00,2026-06-11T11:34:36.052142+00:00,19,session-student-17-003,PRACTICE,1,0,0,2,0.557,27247,3.306,0.965,0.864,0.8581,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0078,student-18,ex-07-01,PYTHON_LISTS,,2026-06-11T15:15:59.967679+00:00,2026-06-11T15:16:19.967679+00:00,20,session-student-18-003,PRACTICE,1,0,1,1,0.238,21244,21.615,0.618,0.643,0.7334,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0079,student-19,ex-06-05,PYTHON_WHILE,,2026-06-11T18:12:09.355714+00:00,2026-06-11T18:12:13.355714+00:00,4,session-student-19-003,PRACTICE,1,0,0,2,0.641,13824,3.579,0.779,0.811,0.7711,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0080,student-20,ex-04-04,PYTHON_FOR,,2026-06-11T21:01:57.620204+00:00,2026-06-11T21:02:11.620204+00:00,14,session-student-20-003,PRACTICE,1,0,1,3,0.533,25628,0.842,0.709,0.879,0.8186,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0081,student-01,ex-06-06,PYTHON_WHILE,PYTHON_RANGE,2026-06-12T00:46:30.607362+00:00,2026-06-12T00:46:37.607362+00:00,7,session-student-01-004,CHECKPOINT,1,0,0,2,0.752,26622,2.162,0.848,0.81,0.5293,,UNSTABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0082,student-02,ex-02-03,PYTHON_OPERATORS,,2026-06-12T04:43:46.099696+00:00,2026-06-12T04:44:04.099696+00:00,18,session-student-02-004,PRACTICE,1,0,0,2,0.462,37442,4.257,0.832,0.916,0.8237,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0083,student-03,ex-04-02,PYTHON_FOR,,2026-06-12T06:37:39.237963+00:00,2026-06-12T06:38:02.237963+00:00,23,session-student-03-004,PRACTICE,0,0,0,1,0.35,25528,4.591,0.589,0.619,0.596,FOR_ITERATION_COUNT,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
attempt-0084,student-04,ex-03-01,PYTHON_IF_ELSE,,2026-06-12T11:33:28.992781+00:00,2026-06-12T11:33:52.992781+00:00,24,session-student-04-004,PRACTICE,1,0,1,2,0.217,9825,3.53,0.678,0.707,0.7184,,STABLE,,SYNTHETIC DATA — NOT REAL EDUONE DATA
