student_id,concept_code,latent_ability,data_notice
student-05,PYTHON_FOR,0.4989,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_RANGE,0.3364,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_WHILE,0.5289,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_LISTS,0.3572,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-05,PYTHON_FUNCTIONS,0.3294,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_VARIABLES,0.7646,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_OPERATORS,0.8556,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_IF_ELSE,0.7393,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_FOR,0.8362,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_RANGE,0.6992,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_WHILE,0.835,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_LISTS,0.7279,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-06,PYTHON_FUNCTIONS,0.8846,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_VARIABLES,0.479,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_OPERATORS,0.5075,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_IF_ELSE,0.4693,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_FOR,0.6069,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_RANGE,0.3785,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_WHILE,0.5948,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_LISTS,0.4205,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-07,PYTHON_FUNCTIONS,0.3798,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_VARIABLES,0.6641,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_OPERATORS,0.7736,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_IF_ELSE,0.7594,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_FOR,0.7034,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_RANGE,0.6896,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_WHILE,0.7227,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_LISTS,0.8893,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-08,PYTHON_FUNCTIONS,0.8154,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_VARIABLES,0.521,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_OPERATORS,0.3751,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_IF_ELSE,0.3037,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_FOR,0.3982,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_RANGE,0.4946,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_WHILE,0.374,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_LISTS,0.5625,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-09,PYTHON_FUNCTIONS,0.5337,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_VARIABLES,0.7313,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_OPERATORS,0.672,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_IF_ELSE,0.7931,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_FOR,0.7336,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_RANGE,0.6378,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_WHILE,0.8601,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_LISTS,0.8205,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-10,PYTHON_FUNCTIONS,0.7549,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_VARIABLES,0.9407,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_OPERATORS,0.9485,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_IF_ELSE,0.7889,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_FOR,0.96,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_RANGE,0.8621,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_WHILE,0.96,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_LISTS,0.9267,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-11,PYTHON_FUNCTIONS,0.96,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_VARIABLES,0.7725,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_OPERATORS,0.7588,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_IF_ELSE,0.8193,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_FOR,0.8981,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_RANGE,0.8211,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_WHILE,0.7056,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_LISTS,0.8972,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-12,PYTHON_FUNCTIONS,0.7948,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_VARIABLES,0.8151,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_OPERATORS,0.7453,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_IF_ELSE,0.6883,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_FOR,0.6865,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_RANGE,0.24,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_WHILE,0.7451,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_LISTS,0.8278,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-13,PYTHON_FUNCTIONS,0.9411,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_VARIABLES,0.7023,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_OPERATORS,0.7601,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_IF_ELSE,0.7583,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_FOR,0.7609,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_RANGE,0.7757,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_WHILE,0.2,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_LISTS,0.6098,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-14,PYTHON_FUNCTIONS,0.8096,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_VARIABLES,0.26,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_OPERATORS,0.26,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_IF_ELSE,0.7016,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_FOR,0.6004,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_RANGE,0.5433,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_WHILE,0.6695,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_LISTS,0.628,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-15,PYTHON_FUNCTIONS,0.4727,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_VARIABLES,0.3593,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_OPERATORS,0.5762,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_IF_ELSE,0.5873,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_FOR,0.3864,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_RANGE,0.3713,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_WHILE,0.5323,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_LISTS,0.4802,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-16,PYTHON_FUNCTIONS,0.6101,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_VARIABLES,0.8322,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_OPERATORS,0.7939,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_IF_ELSE,0.8637,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_FOR,0.8263,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_RANGE,0.662,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_WHILE,0.8855,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_LISTS,0.8684,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-17,PYTHON_FUNCTIONS,0.6394,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_VARIABLES,0.6574,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_OPERATORS,0.6847,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_IF_ELSE,0.8117,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_FOR,0.8732,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_RANGE,0.6392,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_WHILE,0.8459,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_LISTS,0.6426,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-18,PYTHON_FUNCTIONS,0.6392,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_VARIABLES,0.884,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_OPERATORS,0.8474,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_IF_ELSE,0.7161,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_FOR,0.8015,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_RANGE,0.9235,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_WHILE,0.8108,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_LISTS,0.6571,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-19,PYTHON_FUNCTIONS,0.79,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_VARIABLES,0.7834,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_OPERATORS,0.96,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_IF_ELSE,0.96,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_FOR,0.8785,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_RANGE,0.8737,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_WHILE,0.8479,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_LISTS,0.941,SYNTHETIC DATA — NOT REAL EDUONE DATA
student-20,PYTHON_FUNCTIONS,0.7859,SYNTHETIC DATA — NOT REAL EDUONE DATA
