exercise_id,concept_code,secondary_concept_code,difficulty,exercise_type,data_notice
ex-04-01,PYTHON_FOR,,0.218,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-04-02,PYTHON_FOR,,0.35,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-04-03,PYTHON_FOR,,0.427,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-04-04,PYTHON_FOR,,0.533,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-04-05,PYTHON_FOR,,0.637,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-04-06,PYTHON_FOR,PYTHON_IF_ELSE,0.791,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-05-01,PYTHON_RANGE,,0.219,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-05-02,PYTHON_RANGE,,0.324,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-05-03,PYTHON_RANGE,,0.427,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-05-04,PYTHON_RANGE,,0.56,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-05-05,PYTHON_RANGE,,0.653,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-05-06,PYTHON_RANGE,PYTHON_FOR,0.766,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-06-01,PYTHON_WHILE,,0.221,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-06-02,PYTHON_WHILE,,0.331,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-06-03,PYTHON_WHILE,,0.448,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-06-04,PYTHON_WHILE,,0.529,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-06-05,PYTHON_WHILE,,0.641,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-06-06,PYTHON_WHILE,PYTHON_RANGE,0.752,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-07-01,PYTHON_LISTS,,0.238,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-07-02,PYTHON_LISTS,,0.309,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-07-03,PYTHON_LISTS,,0.42,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-07-04,PYTHON_LISTS,,0.536,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-07-05,PYTHON_LISTS,,0.666,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-07-06,PYTHON_LISTS,PYTHON_WHILE,0.783,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-08-01,PYTHON_FUNCTIONS,,0.229,MULTIPLE_CHOICE,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-08-02,PYTHON_FUNCTIONS,,0.326,PREDICT_OUTPUT,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-08-03,PYTHON_FUNCTIONS,,0.442,CODE_ORDER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-08-04,PYTHON_FUNCTIONS,,0.571,BUG_HUNTER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-08-05,PYTHON_FUNCTIONS,,0.658,RANGE_RUNNER,SYNTHETIC DATA — NOT REAL EDUONE DATA
ex-08-06,PYTHON_FUNCTIONS,PYTHON_LISTS,0.792,CHECKPOINT,SYNTHETIC DATA — NOT REAL EDUONE DATA
